Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
4303617;20;01/04/2019 10:00:00;Strada Urbana;VIA TIBERINA;in prossimità;;del civico n.;125;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12.4973;42.0022;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
4303639;11;01/04/2019 10:40:00;Strada Urbana;VIALE LEONARDO DA VINCI;all'intersezione con;VIA ANTONINO PIO;VIA ANTONINO PIO;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12.4808;41.8554;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
4303639;11;01/04/2019 10:40:00;Strada Urbana;VIALE LEONARDO DA VINCI;all'intersezione con;VIA ANTONINO PIO;VIA ANTONINO PIO;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12.4808;41.8554;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
4303698;10;01/04/2019 12:00:00;Provinciale;VIA ANAGNINA;da specificare;;;;fronte civico 259;Scontro laterale fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.607;41.8229;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
4303698;10;01/04/2019 12:00:00;Provinciale;VIA ANAGNINA;da specificare;;;;fronte civico 259;Scontro laterale fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.607;41.8229;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
4303698;10;01/04/2019 12:00:00;Provinciale;VIA ANAGNINA;da specificare;;;;fronte civico 259;Scontro laterale fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.607;41.8229;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
4303698;10;01/04/2019 12:00:00;Provinciale;VIA ANAGNINA;da specificare;;;;fronte civico 259;Scontro laterale fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.607;41.8229;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
4303804;13;01/04/2019 12:00:00;Regionale entro l'abitato;VIA DI TOR BOACCIANA;all'intersezione con;VIA DEL PONTE DI TOR BOACCIANA;VIA DEL PONTE DI TOR BOACCIANA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;0;0;0;2;12.2896;41.7513;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
4303804;13;01/04/2019 12:00:00;Regionale entro l'abitato;VIA DI TOR BOACCIANA;all'intersezione con;VIA DEL PONTE DI TOR BOACCIANA;VIA DEL PONTE DI TOR BOACCIANA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;0;0;0;2;12.2896;41.7513;-1;2;Motociclo con passeggero;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
4303905;19;01/04/2019 08:10:00;Strada Urbana;VIALE DELLE MEDAGLIE D'ORO;in prossimità;;del civico n.;413;;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;1;0;0;1;12.4459;41.9224;-1;;;;Pedone;M;Rimandato;0;NON DECEDUTO;;
